basin,month,day,min_rain,max_rain,perc10,perc25,perc75,perc90,median_rain
Cibolo-Dry Comal,11,22,11.31086497308595,53.57150924394603,13.993481887593122,23.35017180320388,39.40083239900889,44.16197461586691,27.606869987481964
Cibolo-Dry Comal,11,23,11.31086497308595,53.57150924394603,14.010599540539419,23.35017180320388,39.40083239900889,44.940435884965595,27.946410228052166
Cibolo-Dry Comal,11,24,11.31086497308595,53.57150924394603,14.02366717707026,23.36176221744792,39.40083239900889,45.18384433419708,27.946410228052166
Cibolo-Dry Comal,11,25,11.31086497308595,53.57150924394603,14.044199095185512,23.36908986607483,39.4437495740095,45.23296641752601,27.946410228052166
Cibolo-Dry Comal,11,26,12.107233239378637,53.85747506013241,14.22503096121984,23.39047410390253,39.459810642405444,45.255107194107495,27.946410228052166
Cibolo-Dry Comal,11,27,12.421956447156568,53.86771175877349,14.226135696955417,23.392231078523515,39.633607052545344,45.255107194107495,28.035300535274775
Cibolo-Dry Comal,11,28,12.421956447156568,53.86771175877349,14.226135696955417,23.48012512290211,39.705849150136956,45.255107194107495,28.035300535274775
Cibolo-Dry Comal,11,29,12.421956447156568,53.86771175877349,14.226135696955417,23.97127801965886,39.705849150136956,45.255107194107495,28.035300535274775
Cibolo-Dry Comal,11,30,12.421956447156568,53.86771175877349,14.773199253647022,24.064355546008183,39.705849150136956,45.34101368977278,28.035300535274775
Cibolo-Dry Comal,12,1,12.421956447156568,53.86771175877349,14.793102781832335,24.07395480822442,39.711762425453614,45.36431046739011,28.035300535274775
Cibolo-Dry Comal,12,2,12.4243995948614,53.86771175877349,14.800520856336604,24.07395480822442,39.711762425453614,45.37071556678786,28.324342914945078
Cibolo-Dry Comal,12,3,12.522502821078454,53.86771175877349,14.801984359532968,24.07395480822442,39.711762425453614,45.389205469106955,28.324342914945078
Cibolo-Dry Comal,12,4,12.660245431813097,54.254154747571526,14.801984359532968,24.07395480822442,39.73099819002174,45.92605511127604,28.324342914945078
Cibolo-Dry Comal,12,5,12.809826918786312,54.34683277908761,14.807409145550436,24.074317566231393,39.73099819002174,46.772270882789535,28.324342914945078
Cibolo-Dry Comal,12,6,12.809826918786312,54.34683277908761,14.807409145550436,24.077680802041638,39.73099819002174,46.874994923622204,28.324342914945078
Cibolo-Dry Comal,12,7,12.809826918786312,54.34683277908761,14.809036171870698,24.077680802041638,39.86201037103775,46.89509205619657,28.32539273195894
Cibolo-Dry Comal,12,8,12.809826918786312,54.34683277908761,14.8097419409715,24.077680802041638,40.72570396792753,46.89509205619657,28.335069316553682
Cibolo-Dry Comal,12,9,12.809826918786312,54.92686518287828,14.81021068944828,24.077680802041638,40.72570396792753,46.89509205619657,28.3378442253367
Cibolo-Dry Comal,12,10,13.032544626184283,55.02339701208959,14.8102335469096,24.077680802041638,40.72570396792753,46.89509205619657,28.3378442253367
Cibolo-Dry Comal,12,11,13.032544626184283,55.02339701208959,14.848964293313593,24.077680802041638,40.72570396792753,46.97640489210317,28.3378442253367
Cibolo-Dry Comal,12,12,13.032544626184283,55.02339701208959,14.849363465326405,24.092327057244322,40.72573122892082,46.976940205447356,28.3378442253367
Cibolo-Dry Comal,12,13,13.032544626184283,55.34670136478825,14.851057044734011,24.097540277169404,40.729220955791014,46.976940205447356,28.347622058227163
Cibolo-Dry Comal,12,14,13.032544626184283,55.34670136478825,14.858344036716112,24.196299292714603,40.735145729762806,46.976940205447356,28.359681243267765
Cibolo-Dry Comal,12,15,13.03281343273194,55.34670136478825,14.858344036716112,24.199547867718152,40.73516063592969,46.976940205447356,28.4063315826278
Cibolo-Dry Comal,12,16,13.03281343273194,55.34670136478825,14.858344036716112,24.331702286309593,40.73516063592969,46.976940205447356,28.415105725585434
Cibolo-Dry Comal,12,17,13.032872582194148,55.34670136478825,14.858344036716112,24.331702286309593,40.7354956710258,46.976940205447356,28.539808760475346
Cibolo-Dry Comal,12,18,13.03634090950208,55.34670136478825,14.858344036716112,24.331702286309593,40.765804219441335,46.97934246545309,28.57281470009737
Cibolo-Dry Comal,12,19,13.037557679284081,55.34670136478825,14.899924137339916,24.365297434164056,41.07163396568762,46.97934246545309,28.57281470009737
Cibolo-Dry Comal,12,20,13.037943062076815,55.34670136478825,15.006825203136568,24.453667693566008,41.0809186214459,46.97934246545309,28.57281470009737
Cibolo-Dry Comal,12,21,13.037943062076815,55.34670136478825,15.030625295962814,24.45555489408025,41.0809186214459,46.97934246545309,28.57281470009737
Cibolo-Dry Comal,12,22,13.038226073763058,55.34670136478825,15.199229822421138,24.507510266748888,41.0809186214459,46.98188181746223,28.57281470009737
Cibolo-Dry Comal,12,23,13.039655256734996,55.91160834837413,15.199229822421138,24.50837980953745,41.0809186214459,46.98224718377668,28.57281470009737
Cibolo-Dry Comal,12,24,13.04308226250128,56.53540433807004,15.81093762862363,24.665098754669373,41.0809186214459,47.00264770942935,28.80604368620962
Cibolo-Dry Comal,12,25,13.043388328621914,56.53540433807004,15.950691455865616,24.811682633959347,41.0809186214459,47.00612251908988,28.80704031331168
Cibolo-Dry Comal,12,26,13.043750353288832,56.53540433807004,15.950691455865616,24.811682633959347,41.156132116271976,47.00625369133578,28.80704031331168
Cibolo-Dry Comal,12,27,13.043750353288832,56.53540433807004,15.950691455865616,24.811682633959347,41.86842249166714,47.0074061725166,28.80704031331168
Cibolo-Dry Comal,12,28,13.043967308136008,56.53540433807004,15.950691455865616,24.811682633959347,41.86842249166714,47.02042748777862,28.80704031331168
Cibolo-Dry Comal,12,29,13.052843051688988,56.53540433807004,15.958988639617388,24.820915902859625,41.86842249166714,47.02042748777862,28.80704031331168
Cibolo-Dry Comal,12,30,13.052843051688988,56.53586294889382,16.388966826811426,24.823221091640033,41.8723644305663,47.02042748777862,29.02648812685155
Cibolo-Dry Comal,12,31,13.052843051688988,57.067718043259504,16.430772891838572,24.949254443790082,42.03340643248387,47.02248283317513,29.02648812685155
Frio-Dry Frio,1,1,0,0.7167218680617111,0,0,1.2871368480954886e-4,0.008178935768504354,0
Frio-Dry Frio,1,2,0,0.7167218680617111,0,0,0.008526246711644403,0.11542700120824732,0
Frio-Dry Frio,1,3,0,0.7821478226893278,0,0,0.057729002699443456,0.4112850138336442,3.21352598748942e-4
Frio-Dry Frio,1,4,0,0.8420682584850613,0,0,0.10560555221029409,0.6614678264279451,3.21352598748942e-4
Frio-Dry Frio,1,5,0,0.8420682584850613,0,0,0.1191753896556226,0.6614678264279451,0.00326499186874303
Frio-Dry Frio,1,6,0,0.8550963594684706,0,0,0.149819547545806,0.6614678264279451,0.00326499186874303
Frio-Dry Frio,1,7,0,0.8709348602876384,0,0,0.15809442602756296,0.6614678264279451,0.00326499186874303
Frio-Dry Frio,1,8,0,0.8709348602876384,0,2.7855190147794564e-5,0.16020971803870104,0.6666210761940846,0.0050041634753347245
Frio-Dry Frio,1,9,0,1.9346552961439223,0,0.0020678667750419276,0.46894482299829754,0.8189566866617635,0.0368951074827451
Frio-Dry Frio,1,10,0,2.0177798096823705,0,0.0020678667750419276,0.5794624128551108,0.8366502884291105,0.0368951074827451
